"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_month"
"2023-9900","United Cup","Hard","18","A",2023-01-02,300,"126203","3","","Taylor Fritz","R","193","USA","25.1","126610","5","","Matteo Berrettini","R","196","ITA","26.7","7-6(4) 7-6(6)","3","F",135,15,2,85,52,45,16,12,0,0,7,2,97,62,47,15,12,9,9,"9",3355,"16",2375,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,299,"126207","0","","Frances Tiafoe","R","188","USA","24.9","207518","0","","Lorenzo Musetti","R","185","ITA","20.8","6-2 0-0 RET","3","F",34,3,1,27,19,15,3,4,3,3,0,0,21,12,8,3,4,1,3,"19",2000,"23",1865,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,296,"126203","3","","Taylor Fritz","R","193","USA","25.1","128034","2","","Hubert Hurkacz","R","196","POL","25.8","7-6(5) 7-6(5)","3","SF",104,11,0,80,50,44,19,12,4,4,17,1,82,62,51,7,12,2,2,"9",3355,"10",2905,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,295,"126207","0","","Frances Tiafoe","R","188","USA","24.9","200390","0","","Kacper Zuk","R","183","POL","23.9","6-3 6-3","3","SF",79,5,4,61,37,31,11,9,5,5,3,3,68,41,26,12,9,6,9,"19",2000,"245",220,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,292,"126774","1","","Stefanos Tsitsipas","R","193","GRE","24.3","126610","5","","Matteo Berrettini","R","196","ITA","26.7","4-6 7-6(2) 6-4","3","SF",155,9,1,98,52,43,28,16,1,2,7,2,89,58,48,18,16,1,2,"4",5550,"16",2375,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,291,"207518","0","","Lorenzo Musetti","R","185","ITA","20.8","208852","0","","Stefanos Sakellaridis","U","0","GRE","18.3","6-1 6-1","3","SF",62,2,1,41,25,18,12,7,1,1,2,1,43,26,15,5,7,4,9,"23",1865,"803",23,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,288,"126774","1","","Stefanos Tsitsipas","R","193","GRE","24.3","106432","8","","Borna Coric","R","188","CRO","26.1","6-0 6-7(4) 7-5","3","RR",151,20,1,94,60,45,20,15,5,6,7,2,88,59,44,10,15,2,7,"4",5550,"26",1685,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,287,"127339","0","","Borna Gojo","R","196","CRO","24.8","208852","0","","Stefanos Sakellaridis","U","0","GRE","18.3","6-4 6-2","3","RR",89,4,1,50,30,27,11,9,1,1,4,1,78,50,30,12,9,6,9,"144",381,"803",23,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,284,"126610","5","","Matteo Berrettini","R","196","ITA","26.7","128034","2","","Hubert Hurkacz","R","196","POL","25.8","6-4 3-6 6-3","3","RR",116,11,1,77,49,37,18,14,2,4,12,1,79,49,36,16,14,1,4,"16",2375,"10",2905,"01"
"2023-9900","United Cup","Hard","18","A",2023-01-02,283,"207518","0","","Lorenzo Musetti","R","185","ITA","20.8","207415","0","","Daniel Michalski","R","180","POL","22.9","6-1 6-1","3","RR",57,8,0,31,18,17,11,7,0,0,1,1,40,28,12,5,7,4,9,"23",1865,"260",204,"01"
